Time SB_juv_0_Migrating_Biomass(tonnes) SB_juv_0_Total_biomass(tonnes) SB_juv_0_Prop_Migrating SB_ad_0_Migrating_Biomass(tonnes) SB_ad_0_Total_biomass(tonnes) SB_ad_0_Prop_Migrating WHB_juv_0_Migrating_Biomass(tonnes) WHB_juv_0_Total_biomass(tonnes) WHB_juv_0_Prop_Migrating WHB_ad_0_Migrating_Biomass(tonnes) WHB_ad_0_Total_biomass(tonnes) WHB_ad_0_Prop_Migrating
4.900000e+01 0.000000e+00 1.084314e-01 0.000000e+00 5.412008e+01 2.766086e+01 1.956558e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.000000e+01 0.000000e+00 1.084337e-01 0.000000e+00 5.412008e+01 2.766086e+01 1.956558e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.100000e+01 0.000000e+00 1.084361e-01 0.000000e+00 5.412008e+01 2.766086e+01 1.956558e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.200000e+01 0.000000e+00 1.084386e-01 0.000000e+00 5.412008e+01 2.766086e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.300000e+01 0.000000e+00 1.084412e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.400000e+01 0.000000e+00 1.084440e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.500000e+01 0.000000e+00 1.084469e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.600000e+01 0.000000e+00 1.084499e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.700000e+01 0.000000e+00 1.084530e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.800000e+01 0.000000e+00 1.084562e-01 0.000000e+00 5.412008e+01 2.766085e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
5.900000e+01 0.000000e+00 1.084595e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.000000e+01 0.000000e+00 1.084630e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.100000e+01 0.000000e+00 1.084665e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.200000e+01 0.000000e+00 1.084701e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.300000e+01 0.000000e+00 1.084738e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956560e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.400000e+01 0.000000e+00 1.084776e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956560e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.500000e+01 0.000000e+00 1.084815e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956560e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.600000e+01 0.000000e+00 1.084856e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956560e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.700000e+01 0.000000e+00 1.084897e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956560e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.800000e+01 0.000000e+00 1.084938e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956560e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
6.900000e+01 0.000000e+00 1.084981e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956560e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.000000e+01 0.000000e+00 1.085024e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956560e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.100000e+01 0.000000e+00 1.085069e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956560e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.200000e+01 0.000000e+00 1.085113e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.300000e+01 0.000000e+00 1.085158e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.400000e+01 0.000000e+00 1.085202e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.500000e+01 0.000000e+00 1.085247e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
7.600000e+01 0.000000e+00 1.085292e-01 0.000000e+00 5.412008e+01 2.766084e+01 1.956559e+00 1.021347e+03 5.106735e+02 2.000000e+00 1.748447e+03 8.742233e+02 2.000000e+00
