Time FPS FVS FVT FDS SHD SB PIN WHB WHT CEP BFS BFF BG BML BMS ZL BD MA SG BC ZG PL PS ZM ZS PB BB BO DL DR DC DIN RelFPS RelFVS RelFVT RelFDS RelSHD RelSB RelPIN RelWHB RelWHT RelCEP RelBFS RelBFF RelBG RelBML RelBMS RelZL RelBD RelMA RelSG RelBC RelZG RelPL RelPS RelZM RelZS RelPB RelBB RelBO RelDL RelDR RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
2.500000e+01 1329.187135 465384.965960 4636.617823 47586.842584 151190.233537 27.769325 536.043959 1384.896738 756.999862 141125.156483 0.000208 0.000208 0.000208 0.000208 0.000208 5.691841 0.000208 0.000213 0.000209 0.000208 5.695531 2.775913 0.734744 5.694495 5.696763 3451247.300117 144987.736588 0.000208 10455212.214984 41593733.245634 0.000000 4309803654.315040 0.991898 0.952174 0.786190 0.988821 0.991081 1.107965 0.999796 1.013877 1.001077 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.006325 1.000860 1.000000 2.030745 0.000053 0.000000 17.200000 0.843142 3.999187 0.000000
2.600000e+01 1328.772488 465044.020631 4636.250156 47565.464527 151136.028166 27.769323 536.039274 1384.896738 757.033936 141125.014911 0.000208 0.000208 0.000208 0.000208 0.000208 5.697239 0.000208 0.000213 0.000209 0.000208 5.701043 3.306615 0.736979 5.699914 5.702279 4236968.535990 159317.773648 0.000208 10443084.313961 41591036.647053 0.000000 4310128694.523051 0.991589 0.951477 0.786128 0.988377 0.990725 1.107965 0.999787 1.013877 1.001122 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.005158 1.000795 1.000000 2.030898 0.000053 0.000000 17.200000 0.842352 4.028953 0.000000
2.700000e+01 1328.358934 464718.620069 4635.882659 47544.103521 151081.865214 27.769322 536.034588 1384.896738 757.068002 141124.866910 0.000208 0.000208 0.000208 0.000208 0.000208 5.701610 0.000208 0.000213 0.000209 0.000208 5.705514 3.974041 0.739337 5.704303 5.706755 5175162.975141 177738.129148 0.000208 10423778.101031 41586787.257964 0.000000 4310380299.297506 0.991280 0.950811 0.786066 0.987933 0.990370 1.107965 0.999778 1.013877 1.001167 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.003300 1.000693 1.000000 2.031017 0.000053 0.000000 17.200000 0.841541 4.058640 0.000000
2.800000e+01 1327.946193 464407.660742 4635.515334 47522.759411 151027.744613 27.769321 536.029902 1384.896738 757.102061 141124.712605 0.000208 0.000208 0.000208 0.000208 0.000208 5.705151 0.000208 0.000214 0.000209 0.000208 5.709143 4.813633 0.741825 5.707858 5.710387 6352142.608304 205741.063724 0.000208 10387908.511276 41578615.772444 0.000000 4310575207.152670 0.990972 0.950175 0.786003 0.987490 0.990015 1.107965 0.999770 1.013877 1.001212 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.999847 1.000496 1.000000 2.031109 0.000053 0.000000 17.200000 0.840713 4.088270 0.000000
2.900000e+01 1327.534085 464110.143955 4635.148180 47501.432086 150973.666294 27.769319 536.025215 1384.896738 757.136112 141124.552092 0.000208 0.000208 0.000208 0.000208 0.000208 5.708019 0.000208 0.000214 0.000209 0.000208 5.712087 5.870073 0.744450 5.710738 5.713334 7805208.361281 251273.664382 0.000208 10321927.951105 41563060.836286 0.000000 4310730620.470454 0.990665 0.949566 0.785941 0.987046 0.989661 1.107965 0.999761 1.013877 1.001257 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.993496 1.000122 1.000000 2.031182 0.000053 0.000000 17.200000 0.839869 4.117853 0.000000
3.000000e+01 1327.122486 463825.163521 4634.781198 47480.121467 150919.630190 27.769318 536.020528 1384.896738 757.170156 141124.385489 0.000208 0.000208 0.000208 0.000208 0.000208 5.710342 0.000208 0.000214 0.000209 0.000208 5.714477 7.199708 0.747220 5.713070 5.715725 9475217.669736 323646.990803 0.000208 10210058.549142 41535906.822043 0.000000 4310858811.573199 0.990357 0.948983 0.785879 0.986604 0.989307 1.107965 0.999752 1.013877 1.001302 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.982729 0.999469 1.000000 2.031242 0.000053 0.000000 17.200000 0.839011 4.147400 0.000000
3.100000e+01 1326.711312 463551.895143 4634.414386 47458.827488 150865.636231 27.769317 536.015840 1384.896738 757.204193 141124.212946 0.000208 0.000208 0.000208 0.000208 0.000208 5.712223 0.000208 0.000215 0.000209 0.000208 5.716418 8.873599 0.750143 5.714959 5.717665 11216616.119313 428395.293563 0.000208 10043134.226404 41494213.228558 0.000000 4310967887.135807 0.990051 0.948424 0.785817 0.986161 0.988953 1.107965 0.999744 1.013877 1.001347 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.966662 0.998465 1.000000 2.031294 0.000053 0.000000 17.200000 0.838138 4.176917 0.000000
3.200000e+01 1326.300499 463289.587239 4634.047746 47437.550099 150811.684350 27.769315 536.011151 1384.896738 757.238222 141124.034577 0.000208 0.000208 0.000208 0.000208 0.000208 5.713746 0.000208 0.000215 0.000209 0.000208 5.717993 10.981389 0.753227 5.716488 5.719240 12869054.122656 559717.800837 0.000208 9831408.153189 41439664.647513 0.000000 4311063168.448735 0.989744 0.947887 0.785755 0.985719 0.988599 1.107965 0.999735 1.013877 1.001392 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.946283 0.997153 1.000000 2.031338 0.000053 0.000000 17.200000 0.837254 4.206408 0.000000
3.300000e+01 1325.890125 463029.720777 4633.683556 47416.251391 150757.564780 27.769314 536.006361 1384.896738 757.273329 141123.847522 0.000208 0.000208 0.000208 0.000208 0.000208 5.714963 0.000208 0.000215 0.000209 0.000208 5.719273 13.709403 0.756566 5.717720 5.720522 14327760.063123 700148.717724 0.000208 9604802.004807 41379351.051645 0.000000 4311148412.044873 0.989438 0.947355 0.785693 0.985276 0.988244 1.107965 0.999726 1.013877 1.001438 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.924472 0.995702 1.000000 2.031379 0.000053 0.000000 17.200000 0.836356 4.235867 0.000000
3.400000e+01 1325.480039 462780.107661 4633.319537 47394.969276 150703.487651 27.769313 536.001570 1384.896738 757.308429 141123.654871 0.000208 0.000208 0.000208 0.000208 0.000208 5.715948 0.000208 0.000216 0.000209 0.000208 5.720312 17.166315 0.760095 5.718717 5.721562 15558493.103648 831286.708274 0.000208 9394431.242380 41321619.299956 0.000000 4311225837.192510 0.989132 0.946845 0.785631 0.984834 0.987890 1.107965 0.999717 1.013877 1.001485 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.904224 0.994312 1.000000 2.031415 0.000053 0.000000 17.200000 0.835447 4.265306 0.000000
